,player_name,team,IsIndian,innings,runs_scored,balls_faced,fours,sixes,is_dismissed,balls_bowled,runs_given,wickets_taken,extra_runs_given,maiden_overs_bowled,catches_taken,stumpings,run_outs,fifty,century,Three_wicket_haul,Five_wicket_haul,retention,Batting_Average,Batting_Strike_Rate,Bowling_Average,Bowling_Economy,full_name,Day,Month,Year,age_at_auction,age_category,Visibility Score 2015,Visibility Score 2014,Visibility Score 2017,Visibility Score 2016,Average Sentiment Score 2015,Average Sentiment Score 2014,Average Sentiment Score 2017,Average Sentiment Score 2016,Positive Mentions 2015,Positive Mentions 2014,Positive Mentions 2017,Positive Mentions 2016,Negative Mentions 2015,Negative Mentions 2014,Negative Mentions 2017,Negative Mentions 2016,Entertainment Score 2014,Entertainment Score 2015,Entertainment Score 2016,Entertainment Score 2017
0,A Ashish Reddy,Sunrisers Hyderabad,1,9,120.0,76.0,5.0,9.0,5.0,60.0,91.0,5.0,3.0,0.0,2.0,0.0,1.0,0,0,0,0,0,24.0,157.89,18.2,9.1,Ashish Reddy,24,2,1991,27,Peak,0.0,0.0,0.0,0.0006381620931716,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,A Choudhary,Royal Challengers Bengaluru,1,5,25.0,20.0,1.0,1.0,2.0,108.0,144.0,5.0,7.0,2.0,0.0,0.0,0.0,0,0,0,0,0,12.5,125.0,28.8,8.0,Aniket Choudhary,28,1,1990,28,Peak,0.0,0.0,0.0007531254707034,0.0,0.0,0.0,0.3088888888888889,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,A Mishra,Delhi Daredevils,1,40,61.0,83.0,2.0,2.0,5.0,770.0,1007.0,33.0,35.0,0.0,7.0,0.0,2.0,0,0,2,0,0,12.2,73.49,30.52,7.85,Amit Mishra,24,11,1982,36,Veteran,0.0,0.0,0.0069287543304714,0.0006381620931716,0.0,0.0,0.1495793043155575,0.625,0.0,0.0,32.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
3,A Mishra,Sunrisers Hyderabad,1,10,4.0,7.0,0.0,0.0,1.0,230.0,342.0,8.0,7.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.0,57.14,42.75,8.92,Amit Mishra,24,11,1982,36,Veteran,0.0,0.0,0.0069287543304714,0.0006381620931716,0.0,0.0,0.1495793043155575,0.625,0.0,0.0,32.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
4,A Nehra,Chennai Super Kings,1,20,1.0,7.0,0.0,0.0,2.0,478.0,596.0,33.0,21.0,0.0,3.0,0.0,0.0,0,0,6,0,0,0.5,14.29,18.06,7.48,Ashish Nehra,29,4,1979,39,Veteran,0.0038948393378773,0.0,0.0018075011296882,0.0051052967453733,0.2208333333333333,0.0,0.0611111111111111,0.1011706349206349,2.0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
5,A Nehra,Sunrisers Hyderabad,1,14,1.0,1.0,0.0,0.0,0.0,293.0,398.0,21.0,14.0,1.0,2.0,0.0,0.0,0,0,2,1,0,,100.0,18.95,8.15,Ashish Nehra,29,4,1979,39,Veteran,0.0038948393378773,0.0,0.0018075011296882,0.0051052967453733,0.2208333333333333,0.0,0.0611111111111111,0.1011706349206349,2.0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
6,A Zampa,Rising Pune Supergiant,0,6,5.0,7.0,1.0,0.0,1.0,122.0,164.0,7.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.0,71.43,23.43,8.07,Adam Zampa,31,3,1992,26,Peak,0.0,0.0,0.0013556258472661,0.0038289725590299,0.0,0.0,0.0333333333333333,0.1833333333333333,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,A Zampa,Rising Pune Supergiants,0,5,0.0,1.0,0.0,0.0,1.0,103.0,117.0,12.0,7.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0.0,0.0,9.75,6.82,Adam Zampa,31,3,1992,26,Peak,0.0,0.0,0.0013556258472661,0.0038289725590299,0.0,0.0,0.0333333333333333,0.1833333333333333,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,AB Dinda,Rising Pune Supergiant,1,3,7.0,8.0,1.0,0.0,1.0,65.0,121.0,2.0,7.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.0,87.5,60.5,11.17,Ashok Dinda,25,3,1984,34,Experienced,0.0,0.0046816479400749,0.0030125018828136,0.0070197830248883,0.0,0.38,0.0730357142857142,0.1318181818181818,0.0,3.0,9.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
9,AB Dinda,Rising Pune Supergiants,1,9,0.0,0.0,0.0,0.0,0.0,192.0,236.0,13.0,14.0,1.0,0.0,0.0,0.0,0,0,3,0,0,,,18.15,7.38,Ashok Dinda,25,3,1984,34,Experienced,0.0,0.0046816479400749,0.0030125018828136,0.0070197830248883,0.0,0.38,0.0730357142857142,0.1318181818181818,0.0,3.0,9.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
10,AB Dinda,Royal Challengers Bengaluru,1,11,4.0,13.0,0.0,0.0,1.0,228.0,334.0,5.0,18.0,0.0,1.0,0.0,0.0,0,0,0,0,0,4.0,30.77,66.8,8.79,Ashok Dinda,25,3,1984,34,Experienced,0.0,0.0046816479400749,0.0030125018828136,0.0070197830248883,0.0,0.38,0.0730357142857142,0.1318181818181818,0.0,3.0,9.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
11,AB de Villiers,Royal Challengers Bengaluru,0,53,1811.0,1143.0,155.0,99.0,39.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,1.0,12,2,0,0,1,46.44,158.44,,,AB De Villiers,17,2,1984,34,Experienced,0.0457643622200584,0.097378277153558,0.1179394487121554,0.1110402042118698,0.0369220702465383,0.1277156292781292,0.109501328947077,0.103209527601001,16.0,63.0,439.0,88.0,10.0,15.0,104.0,28.0,3.0,0.0,0.0,0.0
12,AD Mathews,Delhi Daredevils,0,13,176.0,137.0,14.0,7.0,9.0,216.0,306.0,7.0,10.0,0.0,7.0,0.0,0.0,0,0,0,0,0,19.56,128.47,43.71,8.5,Angelo Mathews,6,2,1987,31,Experienced,0.0,0.0,0.0006025003765627,0.0012763241863433,0.0,0.0,0.025,-0.04375,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
