,player_name,team,IsIndian,innings,runs_scored,balls_faced,fours,sixes,is_dismissed,balls_bowled,runs_given,wickets_taken,extra_runs_given,maiden_overs_bowled,catches_taken,stumpings,run_outs,fifty,century,Three_wicket_haul,Five_wicket_haul,retention,Batting_Average,Batting_Strike_Rate,Bowling_Average,Bowling_Economy,full_name,Day,Month,Year,age_at_auction,age_category,Visibility Score 2019,Visibility Score 2018,Visibility Score 2021,Visibility Score 2020,Average Sentiment Score 2019,Average Sentiment Score 2018,Average Sentiment Score 2021,Average Sentiment Score 2020,Positive Mentions 2019,Positive Mentions 2018,Positive Mentions 2021,Positive Mentions 2020,Negative Mentions 2019,Negative Mentions 2018,Negative Mentions 2021,Negative Mentions 2020,Entertainment Score 2018,Entertainment Score 2019,Entertainment Score 2020,Entertainment Score 2021
17,AM Rahane,Delhi Capitals,1,9,121.0,122.0,13.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1,0,0,0,0,13.44,99.18,,,Ajinkya Rahane,6,6,1988,34,Experienced,0.0044778792763747,0.0021097046413502,0.0053444180522565,0.0061279749180561,0.1082031746031745,0.0938775510204082,0.1443190586419752,0.2167667434309876,11.0,3.0,20.0,24.0,7.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0
18,AM Rahane,Rajasthan Royals,1,27,763.0,610.0,84.0,14.0,26.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2,1,0,0,0,29.35,125.08,,,Ajinkya Rahane,6,6,1988,34,Experienced,0.0044778792763747,0.0021097046413502,0.0053444180522565,0.0061279749180561,0.1082031746031745,0.0938775510204082,0.1443190586419752,0.2167667434309876,11.0,3.0,20.0,24.0,7.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0
19,AP Tare,Mumbai Indians,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,,,,,Aditya Tare,11,7,1987,35,Experienced,0.0,0.0012055455093429,0.0,0.0,0.0,0.1095238095238095,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20,AR Patel,Delhi Capitals,1,42,267.0,232.0,18.0,12.0,20.0,900.0,1012.0,39.0,15.0,0.0,20.0,0.0,0.0,0,0,1,0,1,13.35,115.09,25.95,6.75,Axar Patel,20,1,1994,28,Peak,0.0048361096184846,0.0280289330922242,0.0081650831353919,0.0084081516317514,0.213830099941211,0.0707376956973731,0.1387067755476846,0.1445989743038774,12.0,27.0,26.0,26.0,4.0,7.0,4.0,6.0,0.0,0.0,0.0,0.0
21,AR Patel,Kings XI Punjab,1,9,80.0,71.0,3.0,4.0,7.0,158.0,221.0,3.0,5.0,0.0,2.0,0.0,0.0,0,0,0,0,0,11.43,112.68,73.67,8.39,Axar Patel,20,1,1994,28,Peak,0.0048361096184846,0.0280289330922242,0.0081650831353919,0.0084081516317514,0.213830099941211,0.0707376956973731,0.1387067755476846,0.1445989743038774,12.0,27.0,26.0,26.0,4.0,7.0,4.0,6.0,0.0,0.0,0.0,0.0
22,AS Joseph,Mumbai Indians,0,3,15.0,13.0,2.0,0.0,0.0,55.0,89.0,6.0,5.0,1.0,0.0,0.0,0.0,0,0,0,1,0,,115.38,14.83,9.71,Alzarri Joseph,20,11,1996,26,Peak,0.0025076123947698,0.0,0.0004453681710213,0.0002850220892119,0.3408549783549784,0.0,0.1098765432098765,0.1,9.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,AS Rajpoot,Kings XI Punjab,1,12,11.0,18.0,1.0,0.0,2.0,268.0,387.0,14.0,27.0,1.0,2.0,0.0,0.0,0,0,0,1,0,5.5,61.11,27.64,8.66,Ankit Rajpoot,12,4,1993,29,Peak,0.0003582303421099,0.0033152501506931,0.0,0.0012825994014536,0.2148689727463312,0.1373809523809523,0.0,-0.0896604938271605,2.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
24,AS Rajpoot,Rajasthan Royals,1,6,9.0,10.0,0.0,1.0,1.0,115.0,206.0,2.0,20.0,0.0,0.0,0.0,0.0,0,0,0,0,0,9.0,90.0,103.0,10.75,Ankit Rajpoot,12,4,1993,29,Peak,0.0003582303421099,0.0033152501506931,0.0,0.0012825994014536,0.2148689727463312,0.1373809523809523,0.0,-0.0896604938271605,2.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
25,AS Roy,Mumbai Indians,1,5,0.0,0.0,0.0,0.0,0.0,15.0,11.0,1.0,3.0,0.0,4.0,0.0,0.0,0,0,0,0,0,,,11.0,4.4,Anukul Roy,30,11,1998,24,Emerging,0.0,0.0,0.001187648456057,0.0005700441784238,0.0,0.0,0.2291666666666666,0.1916666666666666,0.0,0.0,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
26,AT Carey,Delhi Capitals,0,3,32.0,29.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0,0,0,0,16.0,110.34,,,Alex Carey,27,8,1991,31,Experienced,0.0,0.0,0.0,0.0024226877583012,0.0,0.0,0.0,-0.0022222222222222,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
