,player_name,team,IsIndian,innings,runs_scored,balls_faced,fours,sixes,is_dismissed,balls_bowled,runs_given,wickets_taken,extra_runs_given,maiden_overs_bowled,catches_taken,stumpings,run_outs,fifty,century,Three_wicket_haul,Five_wicket_haul,retention,Batting_Average,Batting_Strike_Rate,Bowling_Average,Bowling_Economy,full_name,Day,Month,Year,age_at_auction,age_category,Visibility Score 2024,Visibility Score 2023,Visibility Score 2022,Average Sentiment Score 2024,Average Sentiment Score 2023,Average Sentiment Score 2022,Positive Mentions 2024,Positive Mentions 2023,Positive Mentions 2022,Negative Mentions 2024,Negative Mentions 2023,Negative Mentions 2022,Entertainment Score 2022,Entertainment Score 2023,Entertainment Score 2024
0,A Badoni,Lucknow Super Giants,1,37,634.0,505.0,46.0,24.0,26.0,25.0,37.0,2.0,1.0,1.0,13.0,0.0,1.0,4,0,0,0,1,24.38,125.54,18.5,8.88,Ayush Badoni,12,3,1999,26,Peak,0.0020646937370956,0.0,0.0001856320772229,-0.0413011063011063,0.0,-0.1749999999999999,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,A Kamboj,Mumbai Indians,1,3,2.0,2.0,0.0,0.0,0.0,68.0,115.0,2.0,9.0,0.0,3.0,0.0,0.0,0,0,0,0,0,,100.0,57.5,10.15,Anshul Kamboj,12,6,2000,25,Emerging,0.0020646937370956,0.0,0.0,0.1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,A Manohar,Gujarat Titans,1,17,231.0,181.0,21.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0,0,0,0,0,16.5,127.62,,,Abhinav Manohar,16,9,1994,31,Experienced,0.0027529249827942,0.0,0.0005568962316688,0.3722916666666667,0.0,-0.1302083333333333,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
3,A Mishra,Lucknow Super Giants,1,8,19.0,30.0,2.0,0.0,1.0,127.0,171.0,8.0,3.0,0.0,1.0,0.0,1.0,0,0,0,0,0,19.0,63.33,21.38,8.08,Amit Mishra,24,11,1982,43,Veteran,0.0034411562284927,0.0031890660592255,0.0051976981622424,-0.0293333333333333,-0.0343537414965986,0.1354450113378685,0.0,1.0,11.0,5.0,5.0,2.0,0.0,0.0,0.0
4,A Nortje,Delhi Capitals,0,22,42.0,45.0,6.0,0.0,4.0,534.0,887.0,27.0,40.0,0.0,4.0,0.0,0.0,0,0,3,0,0,10.5,93.33,32.85,9.97,Anrich Nortje,16,11,1993,32,Experienced,0.0006882312456985,0.0004555808656036,0.0003712641544458,0.0483333333333333,0.2375,0.3333333333333333,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5,A Raghuvanshi,Kolkata Knight Riders,1,7,163.0,109.0,16.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1,0,0,0,0,23.29,149.54,,,Angkrish Raghuvanshi,6,5,2005,20,Young,0.0013764624913971,0.0,0.0,0.2680555555555556,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,A Tomar,Kolkata Knight Riders,1,1,4.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.0,50.0,,,Abhijeet Tomar,14,3,1995,30,Peak,0.0,0.0,0.0001856320772229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,A Zampa,Rajasthan Royals,0,6,10.0,17.0,0.0,0.0,3.0,133.0,189.0,9.0,3.0,0.0,0.0,0.0,0.0,0,0,1,0,0,3.33,58.82,21.0,8.53,Adam Zampa,31,3,1992,33,Experienced,0.0,0.0022779043280182,0.0126229812511602,0.0,0.11,0.0568563258636788,0.0,1.0,24.0,0.0,2.0,19.0,2.0,0.0,0.0
8,AA Kulkarni,Lucknow Super Giants,1,2,9.0,8.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.5,112.5,,,Arshin Kulkarni,15,2,2005,20,Young,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,AD Russell,Kolkata Knight Riders,0,41,784.0,503.0,51.0,66.0,27.0,463.0,759.0,47.0,45.0,3.0,10.0,0.0,1.0,2,0,6,0,1,29.04,155.86,16.15,9.84,Andre Russell,29,4,1988,37,Veteran,0.050929112181693,0.0186788154897494,0.0124373491739372,0.0702631901580072,0.0362191602435504,0.1997433288104929,45.0,17.0,34.0,16.0,11.0,9.0,0.0,0.0,3.0
10,AF Milne,Chennai Super Kings,0,1,0.0,0.0,0.0,0.0,0.0,15.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,7.6,Adam Milne,13,4,1992,33,Experienced,0.0,0.0,0.00315574531279,0.0,0.0,0.0052287581699346,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0
11,AJ Finch,Kolkata Knight Riders,0,5,86.0,70.0,10.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,14.33,122.86,,,Aaron Finch,17,11,1986,39,Veteran,0.0,0.0,0.0009281603861147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,AJ Hosein,Sunrisers Hyderabad,0,1,16.0,11.0,1.0,1.0,0.0,24.0,41.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,145.45,41.0,10.25,Akeal Hosein,25,4,1993,32,Experienced,0.0,0.0004555808656036,0.0,0.0,-0.0041666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,AJ Turner,Lucknow Super Giants,0,2,21.0,20.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,10.5,105.0,,,Ashton Turner,25,1,1993,32,Experienced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,AJ Tye,Lucknow Super Giants,0,3,0.0,0.0,0.0,0.0,0.0,69.0,113.0,3.0,9.0,0.0,1.0,0.0,0.0,0,0,1,0,0,,,37.67,9.83,Andrew Tye,12,12,1986,39,Veteran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
