,player_name,team,IsIndian,innings,runs_scored,balls_faced,fours,sixes,is_dismissed,balls_bowled,runs_given,wickets_taken,extra_runs_given,maiden_overs_bowled,catches_taken,stumpings,run_outs,fifty,century,Three_wicket_haul,Five_wicket_haul,retention,Batting_Average,Batting_Strike_Rate,Bowling_Average,Bowling_Economy,full_name,Day,Month,Year,age_at_auction,age_category,Visibility Score 2013,Visibility Score 2012,Visibility Score 2011,Average Sentiment Score 2013,Average Sentiment Score 2012,Average Sentiment Score 2011,Positive Mentions 2013,Positive Mentions 2012,Positive Mentions 2011,Negative Mentions 2013,Negative Mentions 2012,Negative Mentions 2011,Entertainment Score 2011,Entertainment Score 2012,Entertainment Score 2013
48,Ankit Sharma,Deccan Chargers,1,9,18.0,13.0,0.0,2.0,3.0,147.0,167.0,4.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,6.0,138.46,41.75,6.82,Ankit Sharma,20,4,1991,23,Emerging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Ankit Sharma,Sunrisers Hyderabad,1,1,0.0,0.0,0.0,0.0,0.0,12.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,,,,8.5,Ankit Sharma,20,4,1991,23,Emerging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Azhar Mahmood,Kings XI Punjab,0,22,382.0,303.0,38.0,13.0,18.0,532.0,666.0,30.0,24.0,0.0,7.0,0.0,0.0,2,0,5,0,0,21.22,126.07,22.2,7.51,Azhar Mahmood,28,2,1975,39,Veteran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,B Akhil,Kochi Tuskers Kerala,1,1,13.0,9.0,0.0,1.0,1.0,13.0,22.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,13.0,144.44,,10.15,Balachandra Akhil,10,7,1977,37,Veteran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,B Chipli,Deccan Chargers,1,17,244.0,207.0,24.0,6.0,12.0,6.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,1,0,0,0,0,20.33,117.87,,20.0,Bharat Chipli,27,1,1983,31,Experienced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,B Chipli,Delhi Daredevils,1,1,16.0,19.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,16.0,84.21,,,Bharat Chipli,27,1,1983,31,Experienced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,B Kumar,Pune Warriors,1,31,93.0,114.0,7.0,1.0,10.0,666.0,742.0,25.0,61.0,2.0,4.0,0.0,0.0,0,0,2,0,0,9.3,81.58,29.68,6.68,Bhuvneshwar Kumar,2,5,1990,24,Emerging,0.0020964360587002,0.0,0.0036363636363636,0.8,0.0,0.1787037037037037,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
55,B Laughlin,Chennai Super Kings,0,2,4.0,9.0,0.0,0.0,1.0,45.0,72.0,1.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.0,44.44,72.0,9.6,Ben Laughlin,10,3,1982,32,Experienced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,B Lee,Kolkata Knight Riders,0,25,68.0,42.0,3.0,6.0,5.0,593.0,741.0,19.0,43.0,2.0,4.0,0.0,2.0,0,0,0,0,0,13.6,161.9,39.0,7.5,Brett Lee,14,1,1983,31,Experienced,0.0712788259958071,0.0211267605633802,0.0,0.3338182272909162,-0.11375,0.0,26.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
57,BA Bhatt,Kings XI Punjab,1,15,6.0,7.0,0.0,1.0,0.0,303.0,408.0,13.0,19.0,0.0,0.0,0.0,0.0,0,0,1,0,0,,85.71,31.38,8.08,Bhargav Bhatt,13,5,1990,24,Emerging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,BAW Mendis,Pune Warriors,0,3,2.0,4.0,0.0,0.0,1.0,72.0,78.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2.0,50.0,39.0,6.5,Ajantha Mendis,3,11,1985,29,Peak,0.0041928721174004,0.0,0.0,-0.425,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
59,BB McCullum,Kochi Tuskers Kerala,0,13,357.0,292.0,35.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,0,0,0,0,27.46,122.26,,,Brendon McCullum,27,9,1981,33,Experienced,0.0,0.0035211267605633,0.0036363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,BB McCullum,Kolkata Knight Riders,0,14,295.0,294.0,38.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,3.0,1,0,0,0,0,21.07,100.34,,,Brendon McCullum,27,9,1981,33,Experienced,0.0,0.0035211267605633,0.0036363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,BB Samantray,Deccan Chargers,1,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,100.0,,,Biplab Samantray,14,12,1988,26,Peak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,BB Samantray,Sunrisers Hyderabad,1,7,123.0,114.0,13.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1,0,0,0,0,24.6,107.89,,,Biplab Samantray,14,12,1988,26,Peak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,BJ Haddin,Kolkata Knight Riders,0,1,18.0,11.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,18.0,163.64,,,Brad Haddin,23,10,1977,37,Veteran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,BJ Hodge,Kochi Tuskers Kerala,0,14,285.0,245.0,26.0,9.0,11.0,67.0,77.0,8.0,1.0,0.0,1.0,0.0,0.0,1,0,0,1,0,25.91,116.33,9.62,6.9,Brad Hodge,29,12,1974,40,Veteran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
