,player_name,team,IsIndian,innings,runs_scored,balls_faced,fours,sixes,is_dismissed,balls_bowled,runs_given,wickets_taken,extra_runs_given,maiden_overs_bowled,catches_taken,stumpings,run_outs,fifty,century,Three_wicket_haul,Five_wicket_haul,retention,Batting_Average,Batting_Strike_Rate,Bowling_Average,Bowling_Economy,full_name,Day,Month,Year,age_at_auction,age_category,Visibility Score 2009,Visibility Score 2008,Visibility Score 2010,Average Sentiment Score 2009,Average Sentiment Score 2008,Average Sentiment Score 2010,Positive Mentions 2009,Positive Mentions 2008,Positive Mentions 2010,Negative Mentions 2009,Negative Mentions 2008,Negative Mentions 2010,Entertainment Score 2008,Entertainment Score 2009,Entertainment Score 2010
0,A Chopra,Kolkata Knight Riders,1,7,53.0,75.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0,0,0,0,0,10.6,70.67,,,Aakash Chopra,19,9,1977,34,Experienced,0.0057142857142857,0.0038910505836575,0.0,-0.1666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,A Flintoff,Chennai Super Kings,0,3,62.0,57.0,5.0,2.0,2.0,66.0,106.0,2.0,1.0,0.0,3.0,0.0,0.0,0,0,0,0,0,31.0,108.77,53.0,9.64,Andrew Flintoff,12,6,1977,34,Experienced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,A Kumble,Royal Challengers Bengaluru,1,42,35.0,49.0,3.0,0.0,2.0,983.0,1089.0,49.0,62.0,3.0,9.0,0.0,0.0,0,0,3,2,0,17.5,71.43,22.22,6.65,Anil Kumble,17,10,1970,41,Veteran,0.0095238095238095,0.0175097276264591,0.0,0.0666666666666666,0.2342592592592592,0.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0
3,A Mishra,Delhi Daredevils,1,31,102.0,116.0,6.0,2.0,10.0,714.0,811.0,45.0,40.0,1.0,6.0,0.0,4.0,0,0,6,1,0,10.2,87.93,18.02,6.82,Amit Mishra,24,11,1982,29,Peak,0.0057142857142857,0.0038910505836575,0.0137931034482758,0.146060606060606,0.1711805555555555,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
4,A Mithun,Royal Challengers Bengaluru,1,2,5.0,4.0,1.0,0.0,1.0,47.0,81.0,1.0,5.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.0,125.0,81.0,10.34,Abhinav Mithun,25,10,1989,22,Emerging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,A Mukund,Chennai Super Kings,1,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0.0,0.0,,,Abhinav Mukund,1,6,1990,21,Emerging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,A Nehra,Delhi Daredevils,1,17,24.0,21.0,2.0,1.0,1.0,411.0,456.0,28.0,35.0,1.0,4.0,0.0,1.0,0,0,4,0,0,24.0,114.29,16.29,6.66,Ashish Nehra,29,4,1979,32,Experienced,0.0,0.0019455252918287,0.0068965517241379,0.0,0.3111111111111111,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,A Nehra,Mumbai Indians,1,14,3.0,13.0,0.0,0.0,0.0,280.0,357.0,14.0,21.0,0.0,7.0,0.0,0.0,0,0,2,0,0,,23.08,25.5,7.65,Ashish Nehra,29,4,1979,32,Experienced,0.0,0.0019455252918287,0.0068965517241379,0.0,0.3111111111111111,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,A Nel,Mumbai Indians,0,1,0.0,0.0,0.0,0.0,0.0,18.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,31.0,10.33,Andrew Nel,15,7,1977,34,Experienced,0.0,0.0194552529182879,0.0,0.0,0.1295330537518037,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,A Singh,Rajasthan Royals,1,5,1.0,3.0,0.0,0.0,1.0,107.0,100.0,9.0,7.0,0.0,0.0,0.0,0.0,0,0,2,0,0,1.0,33.33,11.11,5.61,Arshdeep Singh,2,5,1999,12,Young,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
